Id,Descripcion,Iso,Ciudad
CALEG,Consulate  General  in  PORTO  ALEGRE,BRA,Porto  Alegre
CANTO,Consulate  in  ANTOFAGASTA,CHL,Antofagasta
CAREN,Consulate  General  in  Punta  Arenas,CHL,Punta  Arenas
CASUN,Consulate  General  in  Asuncion,PRY,Asuncion
CATLA,Consulate  General  in  Atlanta,USA,Atlanta
CBARC,Consulate  General  and  Promotion  Center  in  Barcelona,ESP,Barcelona
CBEIJ,Consular  Section  in  Beijing,CHN,Beijing
CBELO,Consulate  in  Belo  Horizonte,BRA,Belo  Horizonte
CBONN,Consulate  in  Bonn,DEU,Bonn
CCADI,Consulate  in  Cadiz,ESP,Cadiz
CCEST,Consulate  General  in  Ciudad  del  Este,PRY,Ciudad  del  Este
CCHIC,Consulate  General  in  Chicago,USA,Chicago
CCOCH,Consulate  in  Cochabamba,BOL,Cochabamba
CCOLO,Consulate  in  Colonia,URY,Colonia
CCONC,Consulate  in  Concepcion,CHL,Concepcion
CCURI,Consulate  in  Curitiba,BRA,Curitiba
CENCA,Consulate  General  in  Encarnacion,PRY,Encarnacion
CFBEN,Consulate  in  Fray  Bentos,URY,Fray  Bentos
CFDIG,Consulate  in  Foz  do  Iguacu,BRA,Foz  do  Iguacu
CFLOR,Consulate  in  Florianopolis,BRA,Florianopolis
CFRAN,Consulate  General  and  Promotion  Center  in  Frankfurt,DEU,Frankfurt
CGEST,Consulate  General  and  Promotion  Center  in  Istambul,TUR,Istambul
CGMUM,Consulate  General  and  Promotion  Center  in  Mumbai,IND,Mumbai
CGPAZ,Consulate  General  in  La  Paz,BOL,La  Paz
CGTEL,Consulate  General  in  Tel  Aviv,ISR,Tel  Aviv
CGUAN,Consulate  General  in  Guangzhou,CHN,Guangzhou
CGUAY,Consulate  in  Guayaquil,ECU,Guayaquil
CGVAN,Consulate  General  in  Vancouver,CAN,Vancouver
CHAMB,Consulate  General  in  Hamburg,DEU,Hamburg
CHONG,Consulate  General  in  Hong  Kong,CHN,Hong  Kong
CHOUS,Consulate  General  in  Houston,USA,Houston
CJOHA,Consulate  General  in  Johannesburg,ZAF,Johannesburg
CLANG,Consulate  General  and  Promotion  Center  in  Los  Angeles,USA,Los  Angeles
CLIMA,Consulate  General  in  Lima,PER,Lima
CLOND,Consulate  General  in  London,GRB,London  
CMADR,Consulate  General  in  Madrid,ESP,Madrid
CMALD,Consulate  in  Maldonado,URY,Maldonado
CMALL,Consulate  in  Palma,ESP,Palma
CMDEO,Consulate  General  in  Montevideo,URY,Montevideo
CMEXI,Consulate  General  in  Mexico,MEX,Mexico
CMIAM,Consulate  General  and  Promotion  Center  in  Miami,USA,Miami
CMILA,Consulate  General  and  Promotion  Center  in  Milan,ITA,Milan
CMREA,Consulate  General  in  Montreal,CAN,Montreal
CNYOR,Consulate  General  and  Promotion  Center  in  New  York,USA,New  York
CPABL,Consulate  General  and  Promotion  Center  in  Sao  Paolo,BRA,Sao  Paolo
CPAYS,Consulate  in  Paysandu,URY,Paysandu
CPCAR,Consulate  in  Playa  del  Carmen,MEX,Playa  del  Carmen
CPMON,Consulate  in  Puerto  Montt,CHL,Puerto  Montt
CRECI,Consulate  in  Recife,BRA,Recife
CRIOJ,Consulate  General  in  Rio  de  Janeiro,BRA,Rio  de  Janeiro
CROMA,Consulate  General  in  Rome,ITA,Rome
CSBAH,Consulate  in  Sao  Salvador  de  Bahia,BRA,Sao  Salvador  de  Bahia
CSCRS,Consulate  General  and  Promotion  Center  in  Santa  Cruz,BOL,Santa  Cruz
CSHAN,Consulate  General  and  Promotion  Center  in  Shangai,CHN,Shanghái
CSIDN,Consulate  General  in  Sydney,AUS,Sydney
CSIGO,Consulate  General  in  Santiago,CHL,Santiago
CSLTO,Consulate  in  Salto,URY,Salto
CTARI,Consulate  General  in  Tarija,BOL,Tarija
CTENE,Consulate  in  Tenerife,ESP,Tenerife
CTORO,Consulate  General  in  Toronto,CAN,Toronto
CURUG,Consulate  in  Uruguayana,BRA,Uruguayana
CVALP,Consulate  General  in  Valparaiso,CHL,Valparaiso
